City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain (inches),Snow (inches)
0,Dikson,RU,2020-10-04 01:56:04,73.51,80.55,34.63,97,100,24.02,overcast clouds,0.0,0.0
1,Aljezur,PT,2020-10-04 01:56:04,37.32,-8.8,59.76,77,18,6.46,few clouds,0.0,0.0
2,Butaritari,KI,2020-10-04 01:56:05,3.07,172.79,81.37,71,100,8.72,overcast clouds,0.0,0.0
3,Longyearbyen,SJ,2020-10-04 01:56:06,78.22,15.64,36.12,84,88,1.05,overcast clouds,0.0,0.0
4,Rikitea,PF,2020-10-04 01:56:06,-23.12,-134.97,73.58,78,4,17.43,clear sky,0.0,0.0
5,Ushuaia,AR,2020-10-04 01:56:07,-54.8,-68.3,42.8,75,40,4.7,scattered clouds,0.0,0.0
6,Dunedin,NZ,2020-10-04 01:56:08,-45.87,170.5,55.0,71,100,5.99,moderate rain,1.3,1.3
7,Cape Town,ZA,2020-10-04 01:54:01,-33.93,18.42,57.99,87,0,4.7,clear sky,0.0,0.0
8,Sitka,US,2020-10-04 01:56:08,57.05,-135.33,53.6,93,90,3.36,overcast clouds,0.0,0.0
9,Puerto Lopez,CO,2020-10-04 01:56:09,4.08,-72.96,72.86,85,51,2.68,broken clouds,0.0,0.0
10,Touros,BR,2020-10-04 01:53:09,-5.2,-35.46,77.0,83,75,6.93,broken clouds,0.0,0.0
11,Kapaa,US,2020-10-04 01:56:09,22.08,-159.32,87.8,66,1,9.17,clear sky,0.0,0.0
12,East London,ZA,2020-10-04 01:56:10,-33.02,27.91,62.56,85,94,9.84,moderate rain,1.1,1.1
13,Anjozorobe,MG,2020-10-04 01:56:10,-18.4,47.87,64.4,88,75,3.36,broken clouds,0.0,0.0
14,Upernavik,GL,2020-10-04 01:56:10,72.79,-56.15,28.83,92,2,4.38,clear sky,0.0,0.0
15,Ndele,CF,2020-10-04 01:56:11,8.41,20.65,70.03,96,100,4.05,light rain,0.81,0.81
16,Haikou,CN,2020-10-04 01:56:12,20.05,110.34,84.2,83,20,2.24,few clouds,0.0,0.0
17,Lebu,CL,2020-10-04 01:56:13,-37.62,-73.65,44.67,80,0,3.24,clear sky,0.0,0.0
18,Zeya,RU,2020-10-04 01:56:14,53.75,127.27,45.91,65,100,10.09,overcast clouds,0.0,0.0
19,Bahia Honda,CU,2020-10-04 01:56:14,22.9,-83.16,78.21,87,100,8.03,overcast clouds,0.0,0.0
20,Lagoa,PT,2020-10-04 01:56:14,39.05,-27.98,69.6,83,100,14.0,light rain,0.12,0.12
21,Port Elizabeth,ZA,2020-10-04 01:56:15,-33.92,25.57,60.8,93,90,13.87,overcast clouds,0.0,0.0
22,Dabat,ET,2020-10-04 01:56:16,12.98,37.77,51.85,86,6,4.07,clear sky,0.0,0.0
23,Gat,IL,2020-10-04 01:52:02,31.61,34.76,71.01,91,1,2.28,clear sky,0.0,0.0
24,Yellowknife,CA,2020-10-04 01:54:39,62.46,-114.35,50.0,81,75,14.99,broken clouds,0.0,0.0
25,Togur,RU,2020-10-04 01:56:17,58.36,82.83,42.78,90,100,9.84,light rain,0.51,0.51
26,Pocone,BR,2020-10-04 01:56:18,-16.26,-56.62,85.69,29,5,3.0,clear sky,0.0,0.0
27,De-Kastri,RU,2020-10-04 01:56:19,51.47,140.78,48.52,85,100,11.43,light rain,0.28,0.28
28,Saint-Augustin,CA,2020-10-04 01:56:20,51.23,-58.65,44.96,75,80,9.95,broken clouds,0.0,0.0
29,Tuatapere,NZ,2020-10-04 01:56:21,-46.13,167.68,48.0,96,100,5.99,light rain,0.15,0.15
30,Khatanga,RU,2020-10-04 01:56:22,71.97,102.5,24.28,98,100,13.13,overcast clouds,0.0,0.0
31,Hobart,AU,2020-10-04 01:55:41,-42.88,147.33,52.0,93,90,10.29,overcast clouds,0.0,0.0
32,Kavieng,PG,2020-10-04 01:56:23,-2.57,150.8,84.81,72,66,9.95,light rain,0.97,0.97
33,Vaini,TO,2020-10-04 01:56:23,-21.2,-175.2,75.2,94,90,10.29,light rain,0.0,0.0
34,Mayo,US,2020-10-04 01:56:24,38.89,-76.51,55.4,93,1,1.77,clear sky,0.0,0.0
35,Nantucket,US,2020-10-04 01:56:25,41.28,-70.1,62.85,63,0,8.99,clear sky,0.0,0.0
36,Dubai,AE,2020-10-04 01:52:33,25.26,55.3,84.2,74,0,4.7,clear sky,0.0,0.0
37,Castro,BR,2020-10-04 01:56:25,-24.79,-50.01,61.18,83,87,15.19,moderate rain,1.538,1.538
38,Busselton,AU,2020-10-04 01:56:26,-33.65,115.33,61.0,48,4,11.79,clear sky,0.0,0.0
39,Te Anau,NZ,2020-10-04 01:56:26,-45.42,167.72,58.05,78,100,6.87,heavy intensity rain,14.934000000000001,14.934000000000001
40,Norman Wells,CA,2020-10-04 01:56:26,65.28,-126.83,51.8,76,75,3.36,broken clouds,0.0,0.0
41,Qaanaaq,GL,2020-10-04 01:56:27,77.48,-69.36,23.61,91,100,1.07,overcast clouds,0.0,0.0
42,Matay,EG,2020-10-04 01:56:28,28.42,30.78,68.94,71,0,10.6,clear sky,0.0,0.0
43,Prescott Valley,US,2020-10-04 01:56:29,34.59,-112.33,82.4,4,1,3.36,clear sky,0.0,0.0
44,Raudeberg,NO,2020-10-04 01:56:30,61.99,5.14,53.01,74,59,9.01,broken clouds,0.0,0.0
45,Hastings,GB,2020-10-04 01:56:31,50.86,0.57,50.0,97,100,5.01,light rain,0.61,0.61
46,Bay Roberts,CA,2020-10-04 01:56:32,47.6,-53.26,55.99,1,100,10.22,overcast clouds,0.0,0.0
47,Kaitangata,NZ,2020-10-04 01:56:33,-46.28,169.85,53.01,84,100,4.0,heavy intensity rain,6.18,6.18
